prefix,keywords
PHIL,"philosophy, division, lower, ethics, seminar, studies, upper, senior, topics"
PHYS,"division, physics, lower, college, lab, upper, modern"
POLS,"political, science, div, lower, special, american, internship, politics, independent, studies, constitutional, division, groups, history, international"
PORT,portuguese
PSYC,"psychology, division, independent, lower, pract, adult, psych, study, psychological, seminar, aging, ethical, ets, general, practicum"
RLED,"education, religious, division, independent, educ, study, children, lower, special, adol, rel, studies, materials, program, methods"
RUSS,"russian, division, upper"
SDEV,"development, discovering, academic, lower, special, strategies, strengths, success, american, div, level, software, student, culture, studies"
SNUR,"nursing, care, health, charge, childbearing, community, concepts, enrollment, investigative, issues, adult, assessment, child, core, family"
SOCI,"division, sociology, lower, communication, delinquency, divison, into, movements, social, upper, anthropology, behavior, contemporary, intercultural, justice"
SOWK,"practicum, social, work"
SPAN,"spanish, division, independent, advanced, special, lower, immersion, studies, literature, american, lab, conversation, latin, study, bridge"
SPED,"education, students, exceptional, methods, mentally, special, division, characteristics, handicap, disabilities, educ, materials, practicum, dis, language"
SPMG,"division, education, sports, lower, management, phys, events, finance, leadership, marketing, analytics, business, coaching, facilties, internship"
SPWR,"division, education, varsity, ind, sport, lower, phys, recreatio, sports, basketball, coaching, lab, recreation, administration, concepts"
TECH,"management, optimization, project, quality, process, risk, technology"
THAI,"language, thai"
THEO,"theology, biblical, grad, division, ministry, ancient, christian, christianity, about, commandments, culture, ind, lower, research, studies"
TRAN,"division, generic, transfer, lower, upper"
UNIV,"college, communication, strategies, success, study"
